[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/context.bash'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/BriteOnyx/bin/avro-print'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/BriteOnyx/bin/extensions'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/BriteOnyx/bin/list'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/BriteOnyx/bin/parquet-print'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/src/app/my_app/task/bootstrap.py'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/src/app/my_app/task/mapping.py'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/src/app/my_app/task/scan_directory.py'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/src/app/my_app/task/__init__.py'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/src/app/my_app/task/test_task.py'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/src/app/my_app/app.py'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/src/app/my_app/config.py'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/src/app/my_app/__main__.py'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/src/app/my_app/__init__.py'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/src/app/my_app/conftest.py'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/src/app/my_app/test_app.py'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/src/app/my_app/test_config.py'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/src/gen/generate/document/markdown/all.py'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/src/gen/generate/document/markdown/__init__.py'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/src/gen/generate/document/all.py'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/src/gen/generate/document/__init__.py'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/src/gen/generate/script/bash/activating/activate.py'
